"Papers","Author","Areas","ORCID","Name_Variants"
"4","Chu Zhang","finance","0000-0002-5469-906X","Chu Zhang"
"4","Wenjie Tang","decision analysis, judgment and decision making","0000-0003-3322-4804","Wenjie Tang"
"4","Olivier Toubia","big data analytics, decision analysis, marketing","0000-0001-7493-9641","Olivier Toubia"
"4","Andrea Gamba","finance","0000-0001-6571-4635","Andrea Gamba"
"4","Martin Schreier","entrepreneurship and innovation, marketing","","Martin Schreier"
"4","Nitin Bakshi","operations management","0000-0002-9825-189X","Nitin Bakshi"
"4","Bilal Gokpinar","entrepreneurship and innovation, marketing, operations management","0000-0001-9299-2876","Bilal Gokpinar"
"4","Yu-Jane Liu","behavioral economics and decision analysis, finance","0000-0001-5288-3560","Yu-Jane Liu"
"4","Ramesh Johari","finance, revenue management and market analytics, stochastic models and simulation","","Ramesh Johari"
"4","Ramana Nanda","business strategy, entrepreneurship and innovation, finance","0000-0001-7920-7730","Ramana Nanda"
"4","Kevin J. Boudreau","entrepreneurship and innovation, marketing, operations management","0000-0003-2787-9599","Kevin J. Boudreau; Kevin Boudreau"
"4","Henry Sauermann","entrepreneurship and innovation","0000-0002-1340-0199","Henry Sauermann"
"4","Karthik Ramachandran","marketing, operations management","0000-0003-2906-6575","Karthik Ramachandran"
"4","Lin Nan","accounting, operations and supply chain management","0000-0002-0116-2795","Lin Nan"
"4","Jeffrey D. Shulman","marketing","0000-0001-5288-3421","Jeffrey D. Shulman"
"4","Basak Kalkanci","operations and supply chain management, operations management","0000-0002-6779-2431","Basak Kalkanci"
"4","Devin G. Pope","behavioral economics, decision analysis, teck ho, and terrance odean, special issue editors","0000-0002-6567-9654","Devin G. Pope; Devin Pope"
"4","Sarang Deo","healthcare management, operations management","0000-0002-3233-6014","Sarang Deo"
"4","Michael I. Norton","judgment and decision making, special issue editors, teck ho, and terrance odean, special issue editors","","Michael I. Norton"
"4","Sang Pil Han","information systems, special issue editors, special issue on business analytics","0000-0001-5125-9846","Sang Pil Han"
"4","Mirko Kremer","behavioral economics, operations management","","Mirko Kremer"
"4","Vish Krishnan","entrepreneurship and innovation, marketing, operations management","0000-0002-0636-6922","Vish Krishnan"
"4","Mariassunta Giannetti","finance, sustainability, teck ho, and terrance odean, special issue editors","0000-0003-1568-8939","Mariassunta Giannetti"
"4","Michael Kirchler","behavioral economics, decision analysis, finance, teck ho, and terrance odean, special issue editors","0000-0002-5416-2545","Michael Kirchler"
"4","Alexander Oettl","entrepreneurship and innovation, finance, information systems","0000-0001-8908-4674","Alexander Oettl"
"4","Lauren Xiaoyuan Lu","healthcare management, operations management","0000-0002-7818-4116","Lauren Xiaoyuan Lu"
"4","Bohui Zhang","finance, sustainability","0000-0002-5458-6487","Bohui Zhang"
"4","Andrew T. Ching","marketing","0000-0002-0907-284X","Andrew T. Ching"
"4","Martin G. Kocher","behavioral economics","0000-0002-6792-1192","Martin G. Kocher"
"4","Hema Yoganarasimhan","marketing","0000-0003-0703-5196","Hema Yoganarasimhan"
"4","Mehmet Gümüş","marketing, operations management","0000-0003-3814-896X","Mehmet Gümüş; Mehmet Gumus"
"4","Sezer Ülkü","entrepreneurship and innovation, operations management","0000-0002-6348-1425","Sezer Ülkü"
"4","Necati Tereyağoğlu","marketing, operations management, revenue management and market analytics","0000-0002-2824-0036","Necati Tereyağoğlu"
"4","Dan Zhang","operations management","0000-0003-0115-8291","Dan Zhang"
"4","Saed Alizamir","decision analysis, operations management","0000-0001-5066-6976","Saed Alizamir"
"4","Ben Greiner","behavioral economics, behavioral economics and decision analysis–fast track, decision analysis, special issue on the human-algorithm connection","0000-0002-4493-8100","Ben Greiner"
"4","Daniel Feiler","behavioral economics and decision analysis, judgment and decision making, operations management","0000-0001-6248-5654","Daniel Feiler; Daniel C. Feiler"
"4","Amit Mehra","information systems","0000-0002-3822-9543","Amit Mehra"
"4","Hong Liu","finance","0000-0003-1904-6001","Hong Liu"
"4","Karin Hoisl","entrepreneurship and innovation, organizations","0000-0002-2113-5794","Karin Hoisl"
"4","Rachel J. Huang","behavioral economics and decision analysis, decision analysis, finance","0000-0002-0132-7246","Rachel J. Huang"
"4","Giorgo Sertsios","business strategy, finance","0000-0002-3143-1538","Giorgo Sertsios"
"4","Tao Li","finance, virtual special issue on digital finance","0000-0003-0391-0256","Tao Li"
"4","Cindy Yu","finance","","Cindy Yu"
"4","Jiahua Wu","marketing, operations management, revenue management and market analytics","0000-0002-2254-1858","Jiahua Wu"
"4","Kelsey D. Wei","finance","0000-0001-5358-2102","Kelsey D. Wei"
"4","Marie Claire Villeval","behavioral economics, behavioral economics and decision analysis, decision analysis","0000-0001-8578-5449","Marie Claire Villeval"
"4","Kenneth C. Wilbur","marketing","","Kenneth C. Wilbur"
"4","Julia A. Minson","behavioral economics, judgment and decision making","0000-0002-9150-8509","Julia A. Minson; Julia Minson"
"4","Robert Slonim","behavioral economics, decision analysis","","Robert Slonim"
"4","Xiaobo Li","optimization, revenue management and market analytics, revenue management and pricing department, special issue on business analytics","0000-0002-1909-628X","Xiaobo Li"
"4","Christopher Stanton","business strategy, entrepreneurship and innovation, organizations","0000-0001-6951-7882","Christopher Stanton"
"4","Yan Chen","behavioral economics, behavioral economics and decision analysis, special section of management science: 65th anniversary","0000-0003-1287-4525","Yan Chen"
"4","Balázs Kovács","organizations","0000-0001-6916-6357","Balázs Kovács"
"4","Robert J. Batt","accounting, operations management","0000-0001-6626-7347","Robert J. Batt"
"4","Woochoel Shin","marketing","0000-0001-9751-2851","Woochoel Shin"
"4","Hyun-Soo Ahn","operations management","0000-0002-8103-4477","Hyun-Soo Ahn"
"4","Florian Zimmermann","behavioral economics, behavioral economics and decision analysis","0000-0001-7398-7350","Florian Zimmermann"
"4","Christina Rott","behavioral economics, behavioral economics and decision analysis","0000-0002-4092-473X","Christina Rott"
"4","Jeremy Bertomeu","accounting","0000-0001-6746-5767","Jeremy Bertomeu"
"4","Martin Bichler","behavioral economics and decision analysis, information systems, revenue management and market analytics","0000-0001-5491-2935","Martin Bichler"
"4","Peter Bossaerts","behavioral economics and decision analysis, finance","0000-0003-2308-2603","Peter Bossaerts"
"4","Akhmed Umyarov","information science, information systems","0000-0003-3731-9093","Akhmed Umyarov"
"4","Anuj Kumar","information systems","0000-0002-2727-3784","Anuj Kumar"
"4","Dorothea Kübler","behavioral economics, behavioral economics and decision analysis, judgment and decision making, special issue on the human-algorithm connection","0000-0002-0289-8382","Dorothea Kübler"
"4","Andreas Leibbrandt","behavioral economics, behavioral economics and decision analysis, decision analysis","0000-0003-2126-3232","Andreas Leibbrandt"
"4","Danko Turcic","marketing, operations management","0000-0001-6432-8476","Danko Turcic"
"4","Caroline Flammer","entrepreneurship and innovation, finance, organizations","0000-0001-6295-0915","Caroline Flammer"
"4","Xiaoyang Long","marketing, operations management","0000-0002-3908-6441","Xiaoyang Long"
"4","Sheng Huang","finance","0000-0002-3626-1726","Sheng Huang"
"4","Alessandro Acquisti","behavioral economics, information systems","0000-0001-6582-6178","Alessandro Acquisti"
"4","Pascale Crama","entrepreneurship and innovation, operations management","0000-0001-6086-7982","Pascale Crama"
"4","Nicolas Stier-Moses","optimization, revenue management and market analytics","0000-0001-6380-1516","Nicolas Stier-Moses; Nicolas E. Stier-Moses; Nicolás E. Stier-Moses"
"4","Daniel Taylor","accounting","0000-0003-4570-4979","Daniel Taylor"
"4","Marios Kokkodis","information systems","0000-0002-5037-6060","Marios Kokkodis"
"4","Ilona Babenko","finance","0000-0001-5714-090X","Ilona Babenko"
"4","J. Anthony Cookson","business strategy, finance","0000-0001-6920-9353","J. Anthony Cookson"
"4","Miguel Godinho de Matos","information systems, marketing","0000-0002-6333-2753","Miguel Godinho de Matos"
"4","Thomas Buser","behavioral economics, behavioral economics and decision analysis","0000-0002-6119-2734","Thomas Buser"
"4","Krista J. Li","marketing","0000-0002-5037-9202","Krista J. Li; Krista Li"
"4","Noam Shamir","information systems, operations management","0000-0002-6658-2950","Noam Shamir"
"4","Hans Degryse","finance","0000-0002-0130-057X","Hans Degryse"
"4","Marieke Huysentruyt","behavioral economics, entrepreneurship and innovation, organizations","0000-0003-3523-6323","Marieke Huysentruyt"
"4","Doug J. Chung","marketing","0000-0002-0082-796X","Doug J. Chung"
"4","Jin Qi","data science, operations management, optimization","0000-0003-0671-236X","Jin Qi"
"4","Barbara Mellers","behavioral economics, decision analysis, judgment and decision making","","Barbara Mellers"
"4","Jason Chan","information systems","0000-0002-0092-2377","Jason Chan"
"4","Anja Schöttner","accounting, behavioral economics and decision analysis, marketing","0000-0001-5367-594X","Anja Schöttner"
"4","Armin Falk","behavioral economics, behavioral economics and decision analysis","0000-0002-7284-3002","Armin Falk"
"4","Ioannis Stamatopoulos","operations management","0000-0002-3651-0788","Ioannis Stamatopoulos"
"4","George M. Korniotis","finance","0000-0002-6706-3212","George Korniotis; George M. Korniotis"
"4","Susan Feng Lu","healthcare management, operations management","0000-0001-5852-0816","Susan Feng Lu"
"4","Ricard Gil","business strategy","0000-0003-3627-0988","Ricard Gil"
"4","Tian Heong Chan","entrepreneurship and innovation, operations management","0000-0002-0286-1854","Tian Heong Chan"
"4","Henry Lam","data science, optimization, stochastic models and simulation","0000-0002-3193-563X","Henry Lam"
"4","Sameer B. Srivastava","organizations","0000-0001-8793-0793","Sameer B. Srivastava"
"4","Robert Marquez","finance","0000-0002-8651-1658","Robert Marquez"
"4","Silvia Saccardo","behavioral economics, behavioral economics and decision analysis","0000-0001-7560-8262","Silvia Saccardo"
"4","Zhichao Zheng","healthcare management, operations management","0000-0002-4848-0862","Zhichao Zheng"
"4","Susan Athey","behavioral economics and decision analysis, business strategy, data science","0000-0001-6934-562X","Susan Athey"
"4","Daniel Aobdia","accounting","0000-0001-7082-760X","Daniel Aobdia"
"4","Anup Srivastava","accounting","0000-0001-5646-614X","Anup Srivastava"
"4","Yili Hong","information systems","0000-0002-0577-7877","Yili Hong"
"4","Pedro Matos","finance, special section of management science on business and climate change","0000-0003-3388-9515","Pedro Matos"
"4","Jianfu Wang","operations management","0000-0002-2393-8750","Jianfu Wang"
"4","Zhenzhen Yan","big data analytics, data science, optimization","0000-0001-7370-9959","Zhenzhen Yan"
"4","Wei Wang","accounting, finance","0000-0002-7462-951X","Wei Wang"
"4","Feng Tian","behavioral economics and decision analysis, decision analysis","0000-0002-5211-2384","Feng Tian"
"4","Manmohan Aseri","information systems, operations management","0000-0001-6943-2432","Manmohan Aseri"
"4","Cong Shi","data science, optimization","0000-0003-3564-3391","Cong Shi"
"4","Huanan Zhang","big data analytics, optimization","0000-0002-0672-5227","Huanan Zhang"
"4","Nora Szech","behavioral economics and decision analysis, decision analysis","0000-0002-6674-4569","Nora Szech"
"4","Saša Pekeč","optimization, revenue management and market analytics","0000-0001-7908-2536","Saša Pekeč"
"4","Chongwoo Choe","business strategy, information systems, marketing","0000-0001-6145-6907","Chongwoo Choe"
"4","Noriaki Matsushima","information systems, marketing","0000-0002-7865-3875","Noriaki Matsushima"
"4","Mohsen Bayati","big data analytics, data science, operations management","0000-0002-7280-912X","Mohsen Bayati"
"4","Tarun Chordia","finance","0000-0001-7642-2830","Tarun Chordia"
"4","Ranjani Krishnan","accounting","0000-0003-0433-6954","Ranjani Krishnan"
"4","Yonatan Gur","operations management, optimization, revenue management and market analytics, stochastic models and simulation","0000-0003-0764-3570","Yonatan Gur"
"4","Bowen Lou","information systems","0000-0002-3351-6666","Bowen Lou"
"4","John Gathergood","behavioral economics, behavioral economics and decision analysis, finance","0000-0003-0067-8324","John Gathergood"
"4","Jie Cao","finance, finance department","0000-0002-5245-8895","Jie Cao"
"4","Vineet Goyal","optimization, revenue management and analytics, revenue management and market analytics","0000-0001-6719-3212","Vineet Goyal"
"4","Changcheng Song","decision analysis, finance","0000-0002-0684-3805","Changcheng Song"
"4","Nick Arnosti","finance, operations management, revenue management and market analytics","0000-0002-6685-1428","Nick Arnosti"
"4","Doron Avramov","finance","","Doron Avramov"
"4","Artem Timoshenko","management science special section on data-driven prescriptive analytics, marketing","0000-0002-5431-2136","Artem Timoshenko"
"4","Yue Wu","marketing","0000-0003-1579-247X","Yue Wu"
"4","Baozhong Yang","finance","0000-0002-7804-7621","Baozhong Yang"
"4","Mariana Khapko","finance, special issue on the human-algorithm connection","0000-0002-0415-4993","Mariana Khapko"
"4","Jens Foerderer","information systems","0000-0002-3090-4559","Jens Foerderer; Jens Forderer"
"4","Marco Ottaviani","behavioral economics and decision analysis, business strategy","0000-0002-0943-162X","Marco Ottaviani"
"4","Leela Nageswaran","operations management","0000-0003-3649-1174","Leela Nageswaran"
"4","Li Wang","big data analytics, marketing","0000-0001-9009-2057","Li Wang"
"4","Bin Li","accounting, finance, operations management","0000-0001-6244-8490","Bin Li"
"4","Jónas Oddur Jónasson","healthcare management, operations management","0000-0003-2316-684X","Jónas Oddur Jónasson"
"4","Kannan Srinivasan","information systems, marketing","0000-0001-6449-9750","Kannan Srinivasan"
"4","Thomas Schmid","accounting, finance","0000-0003-2745-7273","Thomas Schmid"
"4","Wei Chen","information systems","0000-0002-0963-7839","Wei Chen"
"4","Suresh Sundaresan","finance","0000-0003-0227-0509","Suresh Sundaresan"
"4","Ali Makhdoumi","market design, platform, and demand analytics, optimization, revenue management and market analytics","0000-0001-5422-0314","Ali Makhdoumi"
"4","Jing Wu","finance, operations management","0000-0002-0153-7710","Jing Wu"
"4","Huseyin Gurkan","healthcare management, operations management, special issue on the human-algorithm connection","0000-0002-3872-2776","Huseyin Gurkan"
"4","Timo Vogelsang","behavioral economics and decision analysis, decision analysis","0000-0003-2140-5544","Timo Vogelsang"
"4","Jason Sandvik","accounting, business strategy, finance, organizations","0000-0001-5407-1136","Jason Sandvik; Jason James Sandvik"
"4","Velibor V. Mišić","data science, management science special section on data-driven prescriptive analytics, optimization","0000-0002-8952-5617","Velibor V. Mišić"
"4","Mohamed Mostagir","revenue management and market analytics, stochastic models and simulation","0000-0002-4318-1839","Mohamed Mostagir"
"4","James Siderius","revenue management and market analytics, stochastic models and simulation","0000-0002-7906-1724","James Siderius"
"4","Guihua Wang","big data analytics, healthcare management, operations management","0000-0001-8324-7073","Guihua Wang"
"4","Jin Li","business strategy, information systems","0000-0002-8523-8266","Jin Li"
