"Papers","Affiliation","Areas"
"25","Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853","accounting, behavioral economics, finance, focused issue editor, information systems, marketing, operations management"
"25","Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, Pennsylvania 15260","accounting, behavioral economics and decision analysis, decision analysis, finance, information systems, marketing, operations management, revenue management and market analytics"
"25","Columbia Business School, New York, New York 10027","accounting, behavioral economics and decision analysis, business strategy, data science, finance, marketing, operations management, organizations, revenue management and market analytics"
"25","Cox School of Business, Southern Methodist University, Dallas, Texas 75275","accounting, finance, information systems, marketing, operations management, teck ho, and terrance odean, special issue editors"
"25","Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195","accounting, data science, information systems, marketing, operations management, optimization"
"25","Foster School of Business, University of Washington, Seattle, Washington 98195","accounting, finance, information systems, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, organizations, teck ho, and terrance odean, special issue editors"
"25","Environmental Engineering,","big data analytics, data science, management science special section on data-driven prescriptive analytics, operations management, revenue management and market analytics"
"24","Department of Information Systems","behavioral economics, behavioral economics and decision analysis, big data analytics, data science, entrepreneurship and innovation, information systems, operations management, special issue on the human-algorithm connection, stochastic models and simulation"
"24","Mendoza College of Business, University of Notre Dame, Notre Dame, Indiana 46556","accounting, business strategy, finance, information systems, marketing, optimization, organizations, renee, finance"
"24","Fox School of Business, Temple University, Philadelphia, Pennsylvania 19122","accounting, big data analytics, entrepreneurship and innovation, finance, information systems, marketing, operations management, special section of management science : blockchains and crypto economics"
"24","Lee Kong Chian School of Business, Singapore Management University, Singapore 178899","business strategy, decision analysis, finance, healthcare management, information systems, operations management, organizations"
"24","NUS Business School, National University of Singapore, Singapore 119245","accounting, behavioral economics, behavioral economics and decision analysis, big data analytics, business strategy, entrepreneurship and innovation, finance, information systems, judgment and decision making, management science special section on data-driven prescriptive analytics, marketing, operations management, optimization, organizations, stochastic models and simulation"
"24","Management, Tsinghua University, Beijing 100084, China","accounting, behavioral economics, behavioral economics and decision analysis, data science, finance, information systems, operations management, special section of management science: 65th anniversary"
"23","Department of Decision",""
"23","Department of Banking","behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis, finance, special issue on the human-algorithm connection, special section of management science on business and climate change, teck ho, and terrance odean, special issue editors"
"23","Fisher College of Business, The Ohio State University, Columbus, Ohio 43210","accounting, decision analysis, finance, marketing, operations management, organizations"
"22","The Fuqua School of Business, Duke University, Durham, North Carolina 27708","behavioral economics and decision analysis, business strategy, decision analysis, operations management"
"22","Haas School of Business, University of California, Berkeley, California 94720","accounting, behavioral economics and decision analysis, healthcare management, marketing, operations management, organizations"
"21","Faculty of Commerce",""
"21","Department of Social","behavioral economics, behavioral economics and decision analysis, information systems, judgment and decision making"
"21","Management Science","finance, healthcare management, information systems, management science special section on data-driven prescriptive analytics, operations and supply chain management, operations management, optimization, revenue management and market analytics, special issue on the human-algorithm connection"
"21","College of Management, Georgia Institute of Technology, Atlanta, Georgia 30308","entrepreneurship and innovation, finance, focused issue editor, marketing, operations and supply chain management, special issue editors, teck ho, and terrance odean, special issue editors"
"21","INSEAD, 77305 Fontainebleau, France","accounting, decision analysis, entepreneurship and innovation, entrepreneurship and innovation, marketing, operations management, optimization, organizations"
"20","University of Michigan",""
"20","Owen Graduate School of Management, Vanderbilt University, Nashville, Tennessee 37203","decision analysis, finance, judgment and decision making, operations management"
"20","McCombs School of Business, The University of Texas at Austin, Austin, Texas 78712","accounting, data science, finance, operations management, revenue management and market analytics, special issue editors, special issue on business analytics, special issue on the human-algorithm connection"
"20","Judge Business School, University of Cambridge, Cambridge CB2 1AG, United Kingdom","accounting, entrepreneurship and innovation, finance, healthcare management, marketing, operations management, special section of management science on business and climate change, strategy"
"20","IESE Business School, University of Navarra, 08034 Barcelona, Spain","business strategy, entrepreneurship and innovation, information systems, operations management, optimization, organizations"
"20","Rotterdam School of Management, Erasmus University, 3062 PA Rotterdam, Netherlands","behavioral economics and decision analysis, entrepreneurship and innovation, finance, healthcare management, information systems, marketing, operations management, optimization, organizations"
"20","Centre for Economic Policy Research, London EC1V 0DX, United Kingdom","accounting, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, marketing, revenue management and market analytics"
"19","Harvard University",""
"19","Decision Sciences, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","behavioral economics, behavioral economics and data analysis, behavioral economics and decision analysis, information systems, judgment and decision making"
"19","INSEAD, Boulevard de Constance, 77305 Fontainebleau Cedex, France",""
"19","Management, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","information systems"
"19","Mays Business School, Texas A&M University, College Station, Texas 77843","big data analytics, decision analysis, finance, marketing, operations management"
"19","W. P. Carey School of Business, Arizona State University, Tempe, Arizona 85287","accounting, data science, finance, information systems, operations management, revenue management and market analytics"
