"Papers","Affiliation","Areas"
"1","Department of Brain & Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139","behavioral economics and decision analysis"
"1","University of California at Davis, Davis, California 95616","finance"
"1","Ludwig-Maximilians-Universität München, Institute for Strategy, Technology, and Organization, 80539 Munich, Germany","information systems division"
"1","Accelerate, Brooklyn, New York 11217","operations management"
"1","Accounting Department, Miami Herbert Business School, University of Miami, Coral Gables, Florida 33146","accounting"
"1","School of Management, The University of Science and Technology of China, Hefei 230026, China","operations management"
"1","Carnegie Mellon University Pittsburgh, Pennsylvania 15213","information systems"
"1","LMU Munich, 80539 München, Germany","information systems"
"1","Faculty of Business Administration, University of Macau, Macau SAR 999078, China","finance"
"1","Economics, University of Hong Kong, Hong Kong SAR 999077, China","finance"
"1","CUHK Business School, Chinese University of Hong Kong, Hong Kong SAR 999077, China","finance"
"1","Department of Information Science, Cornell University, Ithaca, New York 14853","behavioral economics and decision analysis"
"1","Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142","behavioral economics and decision analysis"
"1","Haslam College of Business, University of Tennessee, Knoxville, Tennessee 37996-4140","accounting"
"1","Department of Finance, Imperial College London, London SW7 2AZ, United Kingdom","finance"
"1","Brevan Howard Centre, Imperial College London, London SW7 2AZ, United Kingdom","finance"
"1","Division of International Finance, Federal Reserve Board, Washington, District of Columbia 20551","finance"
"1","Marketing, Western University Ivey Business School, London, Ontario N6A 3K7, Canada","marketing"
"1","Management, Technion?Israel Institute of Technology, Haifa 3200003, Israel","optimization"
"1","Chair of Business Administration","accounting"
"1","Accounting, University of Mannheim, 68161 Mannheim, Germany","accounting"
"1","Auditing, School of Business and Economics, Humboldt-Universität zu Berlin, 10099 Berlin, Germany","accounting"
"1","Chair of Accounting","accounting"
"1","Capital Markets, University of Mannheim, 68161 Mannheim, Germany","accounting"
"1","Tsinghua University, Beijing 100190 China","business strategy"
"1","Department of Finance, University of Lausanne, Swiss Finance Institute, Centre of Economic Policy Research, 1015, Lausanne, Switzerland","finance"
"1","Economics, Rutgers Business School, Newark, New Jersey 07102","finance"
"1","Department of Economics, Sciences Po, 75337 Paris, France","business strategy"
"1","Centre for Economic Policy Research, London, United Kingdom","business strategy"
"1","Toulouse School of Economics, Université Toulouse I Capitole, 31000 Toulouse, France","marketing"
"1","Futureproof Technologies, Hai Phong City, Vietnam, 180000","marketing"
"1","Institute for Technology Assessment, Massachusetts General Hospital, Boston, Massachusetts 02114","healthcare management"
"1","Systems Engineering, University of Wisconsin–Madison, Madison, Wisconsin 53705","healthcare management"
"1","St. Anthony Hospital, Gig Harbor, Washington 98332","healthcare management"
"1","Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana 46202","healthcare management"
"1","Lean Care Solutions Corporation Pte. Ltd, Singapore 139959, Singapore","healthcare management"
"1","Decision Sciences, Lingnan University, Tuen Mun, New Territories 999077, Hong Kong","operations management"
"1","School of Business, Renmin University of China, Haidian, Beijing 100872, China","operations management"
"1","Management Engineering, College of Business, Southern University of Science and Technology, Shenzhen 518055, China","operations management"
"1","School of Computer Science, Carnegie Mellon University Pittsburgh, Pennsylvania 15213","information systems"
"1","Computer Sciences, University of California, Berkeley, Berkeley, California 94720","information systems"
"1","Stanford Institute for Economic Policy Research (SIEPR)","business strategy"
"1","Department of Sociology, Stanford University, Stanford, California 94305","business strategy"
"1","Untapped Resources, Inc., Cambridge, Massachusetts 02139","business strategy"
"1","INSEAD Asia Campus, Strategy, INSEAD, Singapore 138676","business strategy"
"1","Waseda Business School, Waseda University, Tokyo 169-8050, Japan","business strategy"
"1","School of Economics, Senshu University, Kanagawa 214-8580, Japan","business strategy"
"1","Ben-Gurion University, Be’er Sheva 8410501, Israel","behavioral economics and decision analysis"
"1","Birmingham Business School, University of Birmingham, Birmingham B15 2TY, United Kingdom","behavioral economics and decision analysis"
"1","Department of Economics, National University of Singapore, Singapore 117570, Singapore","behavioral economics and decision analysis"
"1","Business Information Systems, University of Twente, 7500 AE Enschede, The Netherlands","behavioral economics and decision analysis"
"1","Marketing Department, Yale School of Management, New Haven, Connecticut 06511","behavioral economics and decision analysis"
"1","Departement of Strategy","organizations"
"1","Organizational Behavior Area, Yale School of Management, New Haven, Connecticut 06510","organizations"
"1","Department of Finance, School of Economics, Xiamen University, Xiamen 361005, China","finance"
"1","School of Economics, Shandong University, Jinan 250100, China","finance"
"1","Shanghai University of Finance","finance"
"1","Economics,","finance"
"1","Finance, Shanghai University of Finance and Economics, Shanghai 200437, China","finance"
"1","AQR Arbitrage, LLC, Booth School of Business, University of Chicago, Chicago, Illinois 60637","finance"
"1","Shenzhen Audencia Business School, WeBank Institute of Fintech, Guangdong Laboratory of Artificial Intelligence","finance"
"1","Digital Economy, Shenzhen University, Shenzen 518060, People’s Republic of China","finance"
"1","Institute of Chinese Financial Studies, Southwestern University of Finance and Economics, Chengdu 610074, People’s Republic of China","finance"
"1","Finance, University of International Business and Economics, Beijing 100029, People’s Republic of China","finance"
"1","PBC School of Finance, Tsinghua University, Beijing 100083, People’s Republic of China","finance"
"1","Corporate Governance Department, Schumpeter School of Business Economics, University of Wuppertal, 42119 Wuppertal, Germany","accounting"
"1","Economics, Corporate Finance","accounting"
"1","Governance Department, University of Bielefeld, 33615 Bielefeld, Germany","accounting"
"1","The School of Accounting, Auditing","accounting"
"1","Taxation, Business School, UNSW Sydney, New South Wales 2052, Australia","accounting"
"1","Department of Accounting, The University of Melbourne, Victoria 3010, Australia","accounting"
"1","Department of Finance, Norwegian School of Economics, 5045 Bergen, Norway","finance"
"1","DG FISMA, European Commission, Brussels 1049, Belgium","finance"
"1","College of Business, KAIST, Seoul 02455, South Korea","accounting"
"1","Computer Engineering, University of California–San Diego, San Diego, California 92161","big data analytics"
"1","JD.com Smart Supply Chain Y, Mountain View, California 94043","big data analytics"
"1","JD.com Silicon Valley Research Center, Mountain View, California 94043","big data analytics"
"1","Amazon, New York, New York 10018","finance"
"1","Department of Economics, University of California Santa Cruz, Santa Cruz, California 95064","finance"
"1","College of Business, California State University Long Beach, Long Beach, California 90815","information systems"
"1","Global Data Hub, Global Digital Solutions, ENEL Global Services, 00198 Rome, Italy","revenue management and market analytics"
"1","Managerial Economics, CUHK Business School, The Chinese University of Hong Kong, Shatin, New Territories, Hong Kong","operations management"
"1","Supply Chain Optimization Technology, Amazon, Seattle, Washington 98109","operations management"
"1","Environmental Engineering, Institute for Data, Systems,","big data analytics"
"1","Isenberg School of Management, University of Massachusetts-Amherst","finance"
"1","Amherst, Massachusetts 01003","finance"
"1","Finance Department, Frankfurt School of Finance & Management, Frankfurt 60323, Germany","finance"
"1","Department of Finance, College of Business, Lehigh University, Bethlehem, Pennsylvania 18015","finance"
"1","Swiss Finance Institute (SFI), Universita della Svizzera Italiana, Lugano TI 6904, Switzerland","finance"
"1","Rady School of Management, University of California, San Diego, San Diego, California 92093","behavioral economics and decision analysis"
"1","Karlsruhe Institute of Technology, ECON Institute, 76133 Karlsruhe, Germany","behavioral economics and decision analysis"
"1","University of Lausanne, FDCA, CH-1015 Lausanne, Switzerland","behavioral economics and decision analysis"
"1","Swiss Federal Tax Administration, CH-3003 Bern, Switzerland","behavioral economics and decision analysis"
"1","School of Applied Economics, Renmin University of China, 100872 Beijing, China","behavioral economics and decision analysis"
"1","Humboldt University of Berlin, 10178 Berlin, Germany","behavioral economics and decision analysis"
"1","Creative Destruction Laboratory, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada","information systems"
"1","Creative Destruction Lab, Perimeter Institute for Theoretical Physics, Waterloo, Ontario N2L 2Y5, Canada","information systems"
"1","Department of Physics & Astronomy, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada","information systems"
"1","Legal Studies, Culverhouse College of Business, University of Alabama, Tuscaloosa, Alabama 35487","business strategy"
"1","Department of Economics, University of Melbourne, Melbourne, Victoria 3010, Australia","business strategy"
"1","Católica-Lisbon School of Business and Economics, Universidade Católica Portuguesa, 1649-023 Lisbon, Portugal","marketing"
"1","Department of Marketing, Villanova School of Business, Villanova University, Villanova, Pennsylvania 19085","marketing"
"1","Department of Marketing, David Eccles School of Business, University of Utah, Salt Lake City, Utah 84322","marketing"
"1","Raiz Invest Limited, Sydney, New South Wales 2000, Australia","finance"
"1","Marketing Discipline, University of Sydney Business School, Darlington, New South Wales 2006, Australia","finance"
"1","Coller School of Management, Tel-Aviv University, Ramat Aviv 6997801, Tel Aviv, Israel","finance"
"1","Raymond A. Mason School of Business, William & Mary, Williamsburg, Virginia 23185","finance"
"1","School of Management, University of Stuttgart, 70174 Stuttgart, Germany","finance"
"1","Department of Consumer Science, University of Wisconsin-Madison, Madison, Wisconsin 53706","behavioral economics and decision analysis"
"1","Office of Research, Demonstration, and Employment Support, Social Security Administration, Baltimore, Maryland 21235","behavioral economics and decision analysis"
"1","Office of Retirement and Disability Policy, Social Security Administration, Baltimore, Maryland 21235","behavioral economics and decision analysis"
"1","Frankfurt School of Finance & Management, Frankfurt 60322, Germany","behavioral economics and decision analysis"
"1","Department of Computer Science, ETH Zurich, Zurich 8092, Switzerland","behavioral economics and decision analysis"
"1","University of Lausanne","finance"
"1","Swiss Finance Institute, 1015 Lausanne, Switzerland","finance"
"1","Bayes Business School, City University London, London EC1Y 8TZ, United Kingdom","finance"
"1","Department of Analytics & Operations, NUS Business School, National University of Singapore, Singapore 119077","data science"
"1","Division of Information Technology & Operations Management, Nanyang Business School, Nanyang Technological University, Singapore 639798","data science"
"1","Department of Finance, University of Lausanne, Swiss Finance Institute, Centre of Economic Policy Research, 1015 Lausanne, Switzerland","finance"
"1","Management, Beijing Jiaotong University, Beijing 100044, China","operations management"
"1","Modelling, University of Exeter Business School, Exeter EX4 4PU, United Kingdom","operations management"
"1","College of Management, Zhejiang Shuren University, Hangzhou 310015, China","operations management"
"1","School of Business Administration, South China University of Technology, Guangzhou, 510640, China","operations management"
"1","Managerial Economics, CUHK Business School, The Chinese University of Hong Kong, Shatin, NT Hong Kong","operations management"
"1","Department of Economics, University of North Carolina–Chapel Hill, Chapel Hill, North Carolina 27599","operations management"
"1","Maritime Studies, Faculty of Business, The Hong Kong Polytechnic University, Kowloon, Hong Kong, China","stochastic models and simulation"
"1","Econometrics, University of Regensburg, 93053 Regensburg, Germany","behavioral economics and decision analysis"
"1","Department of Economics, University of Exeter, Exeter EX4 4PU, United Kingdom","behavioral economics and decision analysis"
"1","FAIR Insight Team, Centre for Applied Research, 5045 Bergen, Norway","behavioral economics and decision analysis"
"1","Governance Studies, The Brookings Institution, Washington, District of Columbia 20036","information systems"
"1","Warwick Business School, The University of Warwick, Coventry CV4 7AL, United Kingdom","information systems"
"1","Bryan School of Business","information systems"
"1","Economics, University of North Carolina at Greensboro, Greensboro, North Carolina 27412","information systems"
"1","Marketing Analyst, EPOS Group A/S, 2750 Ballerup, Denmark","information systems"
"1","The Heinz College, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","information systems"
"1","Toulouse School of Economics, Centre national de la recherche scientifque (CNRS), 31000 Toulouse, France","business strategy"
"1","Toulouse School of Economics, University Toulouse Capitole, 31000 Toulouse, France","business strategy"
"1","Tel Aviv University, 6997801 Tel Aviv, Israel","business strategy"
"1","ICRIOS (Invernizzi Center for Research on Innovation, Organization, Strategy","organizations"
"1","Entrepreneurship), Bocconi University, 20136 Milan, Italy","organizations"
"1","King’s College London, London WC2B 4BG, United Kingdom","finance"
"1","Durham University, Durham DH1 3LB, United Kingdom","finance"
"1","Department of Finance, Smeal College of Business, Penn State University, University Park, Pennsylvania 16802","finance"
"1","UTSC Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada","finance"
"1","Chulalongkorn Business School, Chulalongkorn University, Bangkok 10330, Thailand","accounting"
"1","Korea University Business School, Seoul 02841, Korea (the Republic of)","accounting"
"1","Accounting Division, Columbia Business School, New York, New York 10027",""
"1","Mercator School of Management, University Duisburg-Essen, 47057 Duisburg, Germany","marketing"
"1","University of Bonn, D-53113, Bonn, Germany","behavioral economics and decision analysis"
"1","Behavior","behavioral economics and decision analysis"
"1","Inequality Research Institute GmbH, 53113 Bonn, Germany","behavioral economics and decision analysis"
"1","Maastricht University, School of Business and Economics, 6200 MD, Maastricht, Netherlands","behavioral economics and decision analysis"
"1","University of Munich, Munich D-80539, Germany","behavioral economics and decision analysis"
"1","Department of Economics, University of Mannheim, 68131 Mannheim, Germany","finance"
"1","Department of Finance, Nova School of Business and Economics, 2775-405 Carcavelos, Portugal","finance"
"1","The Paul Merage School of Business, University of California–Irvine, Irvine, California 92607","operations management"
"1","Elevance Health, Palo Alto, California","operations management"
"1","Department of Sociology, Columbia University, New York 10027","operations management"
"1","School of Public Health, University of California–Berkeley, Berkeley, California 94720","operations management"
"1","Boston Consulting Group, London, United Kingdom","operations management"
"1","Oracle Retail Global Business Unit (RGBU), Burlington, Massachusetts 01803","optimization"
"1","Division of Mathematical Sciences, Nanyang Technological University, 637371 Singapore","optimization"
"1","Delft Institute of Applied Mathematics, Delft University of Technology, 2628 Delft, The Netherlands","optimization"
"1","Institute of Applied","optimization"
"1","Computational Mathematics, Foundation for Research and Technology—Hellas, 70013 Heraklion, Greece","optimization"
"1","Technology, Stanford Graduate School of Business, Stanford University, California 94305","revenue management and market analytics"
"1","Graduate School of Business, Columbia University, New York 10027","revenue management and market analytics"
"1","Vattenfall BA Wind, 1561 Copenhagen, Denmark","optimization"
"1","Department of Information Engineering, University of Padua, 35131 Padua, Italy","optimization"
"1","Toulouse School of Economics, Centre National de la Recherche Scientifique, University of Toulouse Capitole, Toulouse 31042, France","behavioral economics and decision analysis"
"1","Operations Research, Tilburg University, 5037 AB Tilburg, Netherlands","behavioral economics and decision analysis"
"1","Karlsruhe Institute of Technology, ECON Institute, Karlsruhe 76049, Germany","behavioral economics and decision analysis"
"1","Institute for Microeconomics, University of Bonn, Bonn 53113, Germany","behavioral economics and decision analysis"
"1","Rheinische Fachhochschule Cologne, University of Applied Sciences, D-50676 Köln, Germany","behavioral economics and decision analysis"
"1","University of Cologne, Department of Personnel Economics and Human Resource Management, D-50923 Köln, Germany","behavioral economics and decision analysis"
"1","Frankfurt School of Finance & Management, Department of Accounting, D-60322 Frankfurt, Germany","behavioral economics and decision analysis"
"1","Department of Informatics, Technical University of Munich, 85748 Munich, Germany","behavioral economics and decision analysis"
"1","Human Resources, Renmin University of China, Beijing 100872, China","behavioral economics and decision analysis"
"1","Department of Economics, University of Bristol, Bristol BS1 5BL, United Kingdom","behavioral economics and decision analysis"
"1","Department of Economics, Bilkent University, Ankara 06800, Turkey","behavioral economics and decision analysis"
"1","Department of Marketing, School of Business, Renmin University of China, Beijing 100872, China","marketing"
"1","Mercatusion, Inc., Beijing 100025, China","marketing"
"1","Department of Marketing, College of Business, Colorado State University, Fort Collins, Colorado 80523","marketing"
"1","Department of Marketing, Foster School of Business, University of Washington, Seattle, Washington 98195","marketing"
"1","Department of Economics, University of British Columbia, Vancouver School of Economics, Faculty of Arts, Vancouver V6T 1L4, BC Canada","marketing"
"1","Department of Economics, University of Pennsylvania, Perelman Center for Political Science and Economics, Philadelphia, Pennsylvania 19104","marketing"
"1","Marketing Department, Wharton School of the University of Pennsylvania, Philadelphia, Pennsylvania 19104","marketing"
"1","Marketing Division, Columbia Business School, Columbia University, New York, New York 10027","marketing"
"1","Finance Department, University of Bristol, Bristol BS8 1PQ, United Kingdom","finance"
"1","Economics Department, European University Institute, Fiesole 50014, Italy","finance"
"1","Centre for Economics Policy Research CEPR, London, United Kingdom","finance"
"1","Finance Department, Tilburg University, Tilburg 5037AB, The Netherlands","finance"
"1","Institute for Financial Management, University of Bern, 3012 Bern, Switzerland","finance"
"1","School of Data Science, Chinese University of Hong Kong, Shenzhen 518172, China","finance"
"1","Mathematical Institute, Oxford-Man Institute of Quantitative Finance, University of Oxford, Oxford OX2 6ED, United Kingdom","finance"
"1","St John’s College, Oxford OX1 3JP, United Kingdom","finance"
"1","Department of Economics, University of Bonn, D-53113 Bonn, Germany","accounting"
"1","Financial Intermediation Division of the Economics","finance"
"1","Research Department, Banco de Portugal, 1100-150 Lisbon, Portugal","finance"
"1","Scientific Area of Finance","finance"
"1","Accounting, Católica-Lisbon School of Business and Economics, 1649-023 Lisbon, Portugal","finance"
"1","Department of Accountancy, Finance and Insurance, Katholieke Universiteit Leuven, 3000 Leuven, Belgium","finance"
"1","Programme Area in Financial Economics, Centre for Economic Policy Research, London EC1V 0DX, United Kingdom","finance"
"1","Campus Zurich, Swiss Finance Institute, 8006 Zurich, Switzerland","finance"
"1","Centre for Banking","finance"
"1","Finance at the Norges Teknisk-Naturvitenskapelige Universitet Business School, 7491 Trondheim, Torgarden, Norway","finance"
"1","Indian School of Business, Gachibowli, Hyderabad, Telangana 500032, India","healthcare management"
"1","Aravind Eye Hospital, Madurai 625020, India","healthcare management"
"1","Arison School of Business, Reichman University (IDC Herzliya), Herzliya 4610101, Israel","finance"
"1","School of Business Administration, The Hebrew University of Jerusalem, Jerusalem 9190501, Israel","finance"
"1","Korea University, Seoul 02841, South Korea","marketing"
"1","Department of Economics, University of Mannheim, Mannheim 68131, Germany","marketing"
"1","Mannheim Center for Competition and Innovation, Mannheim 68131, Germany","marketing"
"1","Department of Marketing, ESADE, Universitat Ramon Llull, 08172 Sant Cugat del Valles (Barcelona), Spain","behavioral economics and decision analysis"
"1","Operations, NUS Business School, National University of Singapore, 119245 Singapore","behavioral economics and decision analysis"
"1","University of Amsterdam, 1018 WB Amsterdam, Netherlands","behavioral economics and decision analysis"
"1","Department of Economics, Seoul National University, Seoul 08826, Republic of Korea","behavioral economics and decision analysis"
"1","University of Cambridge, Cambridge, United Kingdom","behavioral economics and decision analysis"
"1","New York University Abu Dhabi, Abu Dhabi, United Arab Emirates","behavioral economics and decision analysis"
"1","Emlyon Business School, GATE UMR 5824, 69130 Ecully, France","behavioral economics and decision analysis"
"1","Department of Statistics, Operations,","operations management"
"1","Data Science, Fox School of Business, Temple University, Philadelphia, Pennsylvania 19122","operations management"
"1","Department of Management, Fox School of Business, Temple University, Philadelphia, Pennsylvania 19122","operations management"
"1","College of Business, University of Nebraska, Lincoln, Nebraska 68588","operations management"
"1","National University of Singapore School of Computing, 117417 Singapore","entrepreneurship and innovation"
"1","Business Administration, University of Duisburg-Essen, D–45117 Essen, Germany","finance"
"1","Department of Statistics, TU Dortmund University, D–44221 Dortmund, Germany","finance"
"1","Statistics, Australian National University, Acton, ACT 2601, Australia","finance"
"1","Deutsche Bundesbank, Research Centre, 60431 Frankfurt am Main, Germany","finance"
"1","Business, Goethe University Frankfurt,","finance"
"1","Leibniz Institute for Financial Research SAFE, 60323 Frankfurt am Main, Germany","finance"
"1","Department of Finance, Stockholm School of Economics, 111 60 Stockholm, Sweden","finance"
"1","Citigroup, New York, New York 10013","finance"
"1","New York University, Leonard N. Stern School of Business, New York, New York 10012","finance"
"1","Operations Area, Kenan Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599","accounting"
"1","Accounting Area, Kenan Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599","accounting"
"1","Economics, CUHK Business School, The Chinese University of Hong Kong, 518172 Shenzhen, China","accounting"
"1","Paul Merage School of Business, University of California–Irvine, Irvine, California 92697","accounting"
"1","School of Accounting, Yunnan University of Finance and Economics, 650503 Yunnan, China","accounting"
"1","Accounting Division, Columbia Business School, New York, 10027","accounting"
"1","Accounting Area, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada","accounting"
"1","Federal Reserve Bank of Richmond, Charlotte, North Carolina 28202","accounting"
"1","The Johns Hopkins Carey Business School, The Johns Hopkins University, Baltimore, Maryland 21202","revenue management and market analytics"
"1","Department of Economics, The Johns Hopkins University, Baltimore, Maryland 21202","revenue management and market analytics"
"1","Department of Economics, London Business School, London NW1 4SA, United Kingdom","revenue management and market analytics"
"1","Operations Department, The Ross School of Business, The University of Michigan, Ann Arbor, Michigan 48109","revenue management and market analytics"
"1","Operations Department, The Kellogg School of Management, Northwestern University, Evanston, Illinois 60208","revenue management and market analytics"
"1","University of California Berkeley, Berkeley, California 94720","finance"
"1","Columbia University, New York 10027","operations management"
"1","Centre for Economic Policy Research London EC1V 0DK, United Kingdom","operations management"
"1","Bright Machines, San Francisco, California 94107","marketing"
"1","European Corporate Governance Institute (ECGI)","finance"
"1","Economics, Shenzhen Finance Institute","finance"
"1","Chinese University of Hong Kong (CUHK) Business School, The Chinese University of Hong Kong, Shenzhen 518172, China","finance"
"1","School of Business, The University of California, Riverside, California 92521","marketing"
"1","Economics, Central University of Finance and Economics, Beijing 102206, China","marketing"
"1","HSE University, St. Petersburg 190121, Russia","behavioral economics and decision analysis"
"1","Smeal College of Business, Penn State University, University Park, Pennsylvania","behavioral economics and decision analysis"
"1","Univ Lyon, Centre National de la Recherche Scientifique (CNRS), GATE UMR 5824, F-69130 Ecully, France","behavioral economics and decision analysis"
"1","Institute of Labor Economics (IZA), D-53113 Bonn, Germany","behavioral economics and decision analysis"
"1","Université Paris-Saclay, RITM and Sciences, Sceaux 92330, France","behavioral economics and decision analysis"
"1","Ecole Polytechnique and CNRS, Palaiseau 91120, France","behavioral economics and decision analysis"
"1","Leibnitz Institute for Financial Research Sustainable Architecture for Finance in Europe, D-60323 Frankfurt am Main, Germany","behavioral economics and decision analysis"
"1","Department of Finance, Aalto University, FI-00076 Aalto, Finland","behavioral economics and decision analysis"
"1","University of Mannheim, School of Business, D-68131 Mannheim, Germany","behavioral economics and decision analysis"
"1","Statistical Sciences","stochastic models and simulation"
"1","Operations Research, Virginia Commonwealth University, Richmond, Virginia 23284","stochastic models and simulation"
"1","Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania 15213","operations management"
"1","Department of Economics, Newcastle University Business School, Newcastle Upon Tyne NE1 4SE, United Kingdom","operations management"
"1","Wuhan University School of Economics","operations management"
"1","Department of Statistical Sciences “Paolo Fortunati,” University of Bologna, 40126 Bologna BO, Italy","health"
"1","Related Studies, University of York, York YO10 5DD, United Kingdom","health"
"1","Department of Economics, Michigan State University, East Lansing, Michigan 48823","business strategy"
"1","Aix-Marseille School of Economics, Aix-Marseille University, 13001 Marseille, France","marketing"
"1","National Centre for Scientific Research, 75016 Paris, France","marketing"
"1","School for Advanced Studies in the Social Sciences, 75006 Paris, France","marketing"
"1","Department of Economics, McGill University, Montreal, Quebec H3A 0G4, Canada","marketing"
"1","Research School of Economics, Australian National University, Acton ACT 2601, Australia","marketing"
"1","Cef.up, Economics Department, University of Porto, 4099-002 Porto, Portugal","marketing"
"1","Department of Economics, Haslam College of Business, University of Tennessee, Knoxville, Tennessee 37996","information systems"
"1","School of Computing, Informatics,","information systems"
"1","Decision Systems Engineering, Arizona State University, Tempe, Arizona 85287","information systems"
"1","Finance, The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong","finance"
"1","Finance, Smith School of Business, Queen’s University, Kingston, Ontario K7L 3N6, Canada","finance"
"1","School of Human","finance"
"1","Business Sciences, Saarland University, Saarbruecken 66123, Germany","finance"
"1","Emlyon Business School, GATE L-SE, Lyon, 69130 Écully, France","finance"
"1","Smith Institute for Political Economy","finance"
"1","Philosophy, Argyros School of Business","finance"
"1","The Ohio State University, Columbus, Ohio 43210","accounting"
"1","Indian School of Business, Hyderabad, Telangana 500 111, India","accounting"
"1","Operations Management, Chicago Booth School of Business, Chicago, Illinois 60637","data science"
"1","Operations Management, MIT Sloan School of Management, Cambridge, Massachusetts 02142","data science"
"1","Google Research Mountain View, Mountain View, California 94043","data science"
"1","Innocenzo Gasparini Institute for Economic Research","finance"
"1","Centre for Applied Research on International Markets, Money Banking","finance"
"1","Regulation (Baffi Carefin), Bocconi University, Milan 20136, Italy","finance"
"1","Dauphine Recherches en Management, Université Paris Dauphine-PSL, CNRS, Paris 75016, France","finance"
"1","UWA Business School, University of Western Australia, Crawley Western Australia 6009","finance"
"1","Enterprise Systems Engineering, University of Illinois at Urbana-Champaign, Urbana, Illinois 61801","revenue management and market analytics"
"1","Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30313","revenue management and market analytics"
"1","Independent Contributor, Beijing, 100000, China","revenue management and market analytics"
"1","Department of Economics, Macquarie University, New South Wales 2109, Australia","finance"
"1","Lee Kong Chian School of Business, Singapore Management University, Singapore 178903","finance"
"1","Faculty of Economics, Keio University, Minato City, Tokyo 108-8345, Japan","behavioral economics and decision analysis"
"1","Department of Economics, University of Copenhagen, 1165 København, Denmark","behavioral economics and decision analysis"
"1","Department of Management & Economics, Johannes Gutenberg University Mainz, 55128 Mainz, Germany","behavioral economics and decision analysis"
"1","ECONtribute, 50923 Cologne, Germany","behavioral economics and decision analysis"
"1","Department of Economics, KU Leuven, 3000 Leuven, Beglium","behavioral economics and decision analysis"
"1","IZA Bonn, 53113 Bonn, Germany","behavioral economics and decision analysis"
"1","Pamplin College of Business, Blacksburg, Virginia 24061","information systems"
"1","Engineering, University of Notre Dame, Notre Dame, Indiana 46556","information systems"
"1","Operations Management, Quantitative Methods","information systems"
"1","Information Systems Area, Indian Institute of Management Udaipur, Balicha, Udaipur, Rajasthan 313001, India","information systems"
"1","Strategy, Hong Kong University, Lung Fu Shan, Hong Kong 74MQ+8J, China","information systems"
"1","Information Systems, Manning School of Business, University of Massachusetts Lowell, Lowell, Massachusetts 01854","information systems"
"1","Fujitsu Intelligence Technology Limited, Vancouver, British Columbia V7X 1M4, Canada","optimization"
"1","Operations Management, INSEAD, 77305, Fontainebleau, France","revenue management and market analytics"
"1","Google, New York 10011","revenue management and market analytics"
"1","Google Research, New York 10011","revenue management and market analytics"
"1","Shanghai Advanced Institute of Finance, Shanghai 200052, China","finance"
"1","Alliance Manchester Business School, University of Manchester, Manchester M15 6PB, United Kingdom of Great Britain and Northern Ireland","finance"
"1","Durham University Business School, Durham University, Durham DH1 3LB, United Kingdom of Great Britain and Northern Ireland","finance"
"1","Surrey Business School, University of Surrey, Guildford GU2 7XH, United Kingdom of Great Britain and Northern Ireland","finance"
"1","Laboratoire d’Économie Dauphine","finance"
"1","Centre de Recherche en Mathématiques de la Décision, Université Paris-Dauphine, Université Paris Sciences et Lettres, Centre National de la Recherche Scientifique, 75016 Paris, France","finance"
"1","Finance Department, Hong Kong University of Science and Technology, Hong Kong S.A.R.","finance"
"1","Accounting Area, Indian Institute of Management Ahmedabad, Ahmedabad, Gujarat 380015, India","finance"
"1","Pamplin School of Business, Virginia Tech, Blacksburg, Virginia 24060","accounting"
"1","Stanford University, Graduate School of Business, Stanford, California 94305","accounting"
"1","Northwestern University, Kellogg School of Management, Evanston, Illinois 60208","accounting"
"1","Lubar College of Business, University of Wisconsin Milwaukee, Milwaukee, Wisconsin 53202","accounting"
"1","Schulich School of Business, York University, Toronto M3J 1P3, Canada","accounting"
"1","Finance Department, Institut Européen d’Administration des Affaires (INSEAD), Fontainebleau, France 77305","entrepreneurship and innovation"
"1","Entrepreneurial Management Unit","entrepreneurship and innovation"
"1","Finance Unit, Harvard Business School, Boston, Massachusetts 02163","entrepreneurship and innovation"
"1","School of Management, Shandong University, Jinan, Shandong 250100, China","entrepreneurship and innovation"
"1","University of New South Wales, Sydney New South Wales 2052, Australia","finance"
"1","University of Sydney, Camperdown New South Wales 2006, Australia","finance"
"1","Katz Graduate School of Business","marketing"
"1","College of Business Administration, University of Pittsburgh, Pittsburgh, Pennsylvania 15260","marketing"
"1","Department of Marketing, College of Business, City University of Hong Kong, Kowloon Tong, Hong Kong","marketing"
"1","College of Business, Korea Advanced Institute of Science and Technology, Seoul 02455, Republic of Korea","marketing"
"1","Microsoft Research, Cambridge, Massachusetts 02142","revenue management and market analytics"
"1","Computer Science Division, University of California–Berkeley, Berkeley, California 94720","revenue management and market analytics"
